,cities,aqi,latitude,longitude,pm25,pm10,o3,uvi,date
569,Ankang,80,32.6975,109.0072,80.0,10.0,11.0,1.0,11-30-2021
570,Gaomi,38,36.3432,119.7478,38.0,19.0,10.0,1.0,11-30-2021
573,Danzhou,107,19.521134,109.580811,107.0,28.0,21.0,2.0,11-30-2021
576,Zhuhai,165,22.270715,113.576726,165.0,40.0,7.0,2.0,11-30-2021
578,Sakai,9,34.5939598,135.4717818,9.0,16.0,1.0,1.0,11-30-2021
579,Haikou,97,20.030793,110.328859,97.0,28.0,22.0,2.0,11-30-2021
582,Xuancheng,93,30.94069,118.758588,93.0,46.0,2.0,1.0,11-30-2021
584,Yuhang,70,30.418333,120.300556,70.0,48.0,1.0,1.0,11-30-2021
585,Qinhuangdao,23,39.935377,119.600492,9.0,27.0,7.0,0.0,11-30-2021
587,Kermanshah,52,34.3103825,47.0702915,20.0,18.0,8.0,1.0,11-30-2021
589,Liverpool,19,53.37287,-3.022722,17.0,5.0,27.0,0.0,11-30-2021
591,Guwahati,168,26.1445,91.7362,168.0,35.0,7.0,2.0,11-30-2021
592,Yichun ,70,27.815619,114.416778,70.0,32.0,9.0,1.0,11-30-2021
593,Konya,149,37.8605257547351,32.4758067564465,149.0,20.0,27.0,0.0,11-30-2021
596,Bengbu,46,32.916287,117.389719,46.0,46.0,4.0,1.0,11-30-2021
597,Yibin,119,28.751812,104.643382,119.0,22.0,8.0,0.0,11-30-2021
598,Chandigarh,162,30.751462,76.762879,162.0,47.0,13.0,1.0,11-30-2021
600,Yinchuan,132,38.487194,106.230909,132.0,7.0,10.0,0.0,11-30-2021
602,Guilin,61,25.273566,110.290195,61.0,46.0,17.0,2.0,11-30-2021
603,Hamamatsu,28,34.7108344,137.7261258,5.0,12.0,8.0,1.0,11-30-2021
604,Sao Bernardo Do Campo,31,-23.698671086,-46.546232187,13.0,68.0,13.0,0.0,11-30-2021
606,Bishkek,53,42.827625,74.58384,53.0,15.0,8.0,0.0,11-30-2021
608,Suihua,57,46.6384,126.9934,57.0,19.0,6.0,0.0,11-30-2021
611,Meishan,153,30.07544,103.848538,153.0,28.0,3.0,1.0,11-30-2021
614,Marseille,19,43.30608,5.39579,19.0,9.0,25.0,0.0,11-30-2021
615,Kaifeng,80,34.797239,114.307582,80.0,19.0,4.0,1.0,11-30-2021
617,Tongliao,59,43.6801,122.2532,59.0,14.0,7.0,0.0,11-30-2021
620,Dongying,61,37.434751,118.674767,61.0,40.0,1.0,0.0,11-30-2021
625,Mysore,49,12.3511441,76.6249171,49.0,15.0,5.0,2.0,11-30-2021
626,Niigata,27,37.9161924,139.0364126,17.0,7.0,11.0,1.0,11-30-2021
627,Indianapolis ,52,39.787933,-86.13088,52.0,9.0,10.0,0.0,11-30-2021
628,Jiaozhou,30,36.27582778,120.01977778,30.0,19.0,6.0,1.0,11-30-2021
629,Pingxiang ,80,27.622768,113.854556,80.0,46.0,6.0,1.0,11-30-2021
630,Haiphong,-,21.0201158,106.7004633,13.0,27.0,24.0,0.0,11-30-2021
632,Jacksonville ,31,30.356388888889,-81.635277777778,31.0,10.0,10.0,0.0,11-30-2021
634,Dandong,34,40.0005,124.354707,34.0,38.0,3.0,0.0,11-30-2021
640,Xinyu,65,27.817809,114.917347,65.0,46.0,5.0,1.0,11-30-2021
641,Gongyi,82,34.7485894,112.9902676,82.0,19.0,8.0,1.0,11-30-2021
643,Xinxiang,82,35.302928,113.926975,82.0,19.0,3.0,1.0,11-30-2021
644,Port Elizabeth,33,-33.985586,25.5885,33.0,9.0,8.0,3.0,11-30-2021
646,Nantong,55,31.980175,120.894339,55.0,58.0,4.0,1.0,11-30-2021
651,Anyang,70,36.097593,114.392756,70.0,51.0,1.0,0.0,11-30-2021
652,Renqiu,78,38.675,116.091,78.0,45.0,1.0,1.0,11-30-2021
653,Foshan,59,23.021548,113.121416,59.0,28.0,10.0,2.0,11-30-2021
658,Goyang,55,37.6583599,126.8320201,55.0,24.0,1.0,0.0,11-30-2021
660,Bucheon ,38,37.5034138,126.7660309,38.0,24.0,1.0,0.0,11-30-2021
667,Dongyang,39,29.298189,120.246079,34.0,23.0,2.0,1.0,11-30-2021
668,Lviv,16,49.8475,24.0155,16.0,9.0,20.0,0.0,11-30-2021
669,Kunshan,50,31.3875,120.9531,50.0,106.0,1.0,1.0,11-30-2021
671,Salem,12,44.943114,-123.005934,12.0,2.0,10.0,0.0,11-30-2021
672,Jiaozuo,73,35.215893,113.241823,72.0,10.0,11.0,1.0,11-30-2021
674,Huaibei,25,33.955845,116.798265,25.0,51.0,1.0,1.0,11-30-2021
675,Liyang,42,31.4,119.46,42.0,56.0,2.0,1.0,11-30-2021
676,Samut Prakan,129,13.599149,100.597345,129.0,57.0,3.0,2.0,11-30-2021
677,Rongcheng,68,23.549993,116.372831,68.0,19.0,6.0,2.0,11-30-2021
683,Laixi,38,36.864444,120.536667,38.0,19.0,8.0,0.0,11-30-2021
684,Liaoyang,57,41.267244,123.236944,57.0,46.0,2.0,0.0,11-30-2021
685,Zhaotong,104,27.3361,103.7225,104.0,10.0,5.0,1.0,11-30-2021
686,Jerusalem,109,31.768319,35.21371,109.0,37.0,20.0,1.0,11-30-2021
687,Tainan,79,22.984581,120.202617,78.0,45.0,1.0,2.0,11-30-2021
688,Cuernavaca,18,18.90861,-99.21167,18.0,18.0,4.0,0.0,11-30-2021
690,Linfen,57,36.088067,111.51888,57.0,15.0,13.0,0.0,11-30-2021
693,Shangyu,76,29.99,120.89222222222222,76.0,37.0,1.0,1.0,11-30-2021
699,Aguascalientes,71,21.903003362672,-102.28461279505,71.0,10.0,7.0,0.0,11-30-2021
701,Hamilton,46,43.2500208,-79.8660914,46.0,10.0,6.0,0.0,11-30-2021
703,Langfang,53,39.538047,116.683752,53.0,51.0,1.0,1.0,11-30-2021
704,Osasco,53,-23.526721419,-46.792077661,53.0,79.0,16.0,0.0,11-30-2021
705,Nonthaburi,85,13.907861,100.535641,85.0,59.0,9.0,2.0,11-30-2021
708,Yichang,87,30.691967,111.286471,87.0,19.0,4.0,1.0,11-30-2021
709,Yangzhou,38,32.39421,119.412966,38.0,58.0,1.0,1.0,11-30-2021
712,Jalandhar,186,31.321907,75.578914,186.0,58.0,11.0,1.0,11-30-2021
715,Xiangtan,102,27.829738,112.944049,102.0,46.0,8.0,1.0,11-30-2021
716,Winnipeg,18,49.89798,-97.1465,18.0,4.0,11.0,0.0,11-30-2021
718,Kota,172,25.1438895,75.8212555,172.0,55.0,6.0,1.0,11-30-2021
719,Sevilla,57,37.4005114,-5.9549858,57.0,21.0,10.0,0.0,11-30-2021
720,Navi Mumbai ,167,19.008751,73.01662,167.0,49.0,8.0,1.0,11-30-2021
722,Saltillo,73,25.421472222222,-100.99686111111,73.0,12.0,8.0,0.0,11-30-2021
724,Shizuoka,31,34.975562,138.3827596,13.0,9.0,9.0,1.0,11-30-2021
728,Yingkou,30,40.667012,122.235418,30.0,40.0,3.0,0.0,11-30-2021
729,Wuhu,68,31.352859,118.432941,68.0,67.0,1.0,1.0,11-30-2021
730,Zhenjiang,70,32.187849,119.425836,70.0,58.0,1.0,1.0,11-30-2021
734,Hegang,61,47.349916,130.297964,61.0,3.0,8.0,0.0,11-30-2021
735,Linqing,102,36.811944,115.733056,102.0,28.0,3.0,1.0,11-30-2021
737,Zunyi,122,27.725654,106.927389,122.0,28.0,9.0,1.0,11-30-2021
738,Panzhihua,112,26.582347,101.718637,112.0,33.0,3.0,1.0,11-30-2021
739,Austin ,50,30.3544356,-97.7602554,50.0,6.0,7.0,0.0,11-30-2021
741,Lianyungang,30,34.596544,119.221282,30.0,46.0,2.0,1.0,11-30-2021
742,Yancheng,42,33.347378,120.163561,42.0,42.0,2.0,1.0,11-30-2021
746,Qiongshan,85,20.030793,110.328859,85.0,28.0,22.0,2.0,11-30-2021
748,Wendeng,24,37.195254,122.062606,13.0,15.0,12.0,0.0,11-30-2021
749,Okayama,-,34.6551456,133.9195019,50.0,17.0,22.0,0.0,11-30-2021
757,Longkou,24,37.619444,120.319722,5.0,19.0,12.0,0.0,11-30-2021
759,Antalya,81,36.8877038453118,30.72677602063,81.0,23.0,27.0,0.0,11-30-2021
760,Kumamoto,28,32.8031004,130.7078911,13.0,10.0,6.0,1.0,11-30-2021
762,Mexicali,42,32.640027777778,-115.47463888889,34.0,19.0,6.0,0.0,11-30-2021
766,Nottingham,17,52.95473,-1.146447,17.0,7.0,23.0,0.0,11-30-2021
767,Haining,50,30.523822,120.678291,50.0,58.0,3.0,1.0,11-30-2021
774,Yangquan,70,37.856972,113.580519,70.0,30.0,6.0,0.0,11-30-2021
775,Chenzhou,93,25.77051,113.014718,93.0,46.0,6.0,1.0,11-30-2021
